1 "The 2013 MY Harley Davidson Electra Glide Ultra Classic Firefighter sports an air-cooled, 1690cc, Twin Cam 103 engine that can produce 135 Nm of torque. It is one of the most capable touring motorcycles ever to have been designed by the House of Milwaukee, thanks to its hard saddlebags, trunk, fork-mounted fairing and the heated, two-up seat, with lumbar support for the rider plus backrest and armerests for the passenger.


It has been created as a tribute for firefighters, and features distinctive design elements and details, such as the "Firefighter Special Edition" steel badge. It can be purchased only by fire department personnel, active or retired, and comes in two unique paint schemes, Vivid Black with Red/Gold Pinstripes or Fire Engine Red with Double Gold Pinstripes.", 
It comes with a new frame and swingarm, a new, 2-1-2 exhaust system, a new, 68-tooth rear drive sprocket, new, cast-aluminium wheels, an increased load capacity and a new, Vivid Black with gold and red pinstripes paint scheme. ", 
14 "The 2009 MY Harley Davidson Ultra Classic Electra Glide is a machine intended only for fire department staff, active or retired. At its heart lies an air-cooled, 1584cc, Twin Cam 96 powerplant paired to a six-speed manual transmission with a Cruise Drive technology, and can produce 125 Nm of torque at 3500 rpm. 


Standard features include a new frame and swingarm, a new, 2-1-2 exhaust system, a new, 68-tooth rear drive sprocket, new, cast-aluminium wheels, a an increased load capacity, plus a special paint scheme, Vivid Black with gold and red pinstripes.", 
15 "The 2008 MY Harley Davidson Firefighter FLSTC Heritage Softail Classic has, at its heart, an air-cooled, 1584cc, Twin Cam 96B V-twin powerhouse paired to a six-speed manual transmission with a Cruise Drive technology, and can produce 119 Nm of torque at 2750 rpm. 


This machine is dedicated for fire department personnel, and can only be purchased by them. It boasts a special paint scheme, and a fuel tank badge. Other features, such as the studded leather saddlebags and rider seat, the full-coverage front fender or the detachable windshield are the same as on the base Heritage Softail Classic.", 
16 "The 2008 MY Harley Davidson Firefighter FLSTF Fat Boy is a machine dedicated for fire department employees, and comes with a special paint scheme and fuel tank badge, found only on this series from House Milwaukee. At its heart lies an air-cooled, 1584cc, Twin Cam 96B powerhouse mated to a six-speed manual transmission with a Cruise Drive technology, and can produce 123 Nm of torque at 3000 rpm. In all other departments, this machine sports the same features as the base Harley Davidson Fat Boy. ", 
17 "The 2008 MY Harley Davidson Firefighter FLHR Road King sports an air-cooled, 1584cc, Twin Cam 96 powerhouse that reaches its peak torque of 126 Nm at 3000 rpm, and is mated to a six-speed manual transmission with a Cruise Drive system. 


This touring machine is dedicated to firefighters and can be purchased only by active or retired fire department personnel, and boasts a special paint scheme, found only on this series plus a fuel tank steel badge. In all other departments, it has the same features and parts as the base Road King.", 
18 "The 2008 MY Harley Davidson Firefighter FLHTCU Ultra Classic Electra Glide sports an air-cooled, 1583cc, Twin Cam 96 V-twin engine mated to a six-speed manual transmission with a Cruise Drive technology, and can produce 126 Nm of torque at 3500 rpm. This two-wheeler has been designed in honor of fire department staff, and is exclusively addressed to them. It boasts a special, Fire-engine Red paint scheme, and comes with a steel fuel tank badge. In all other aspects, it is the same as the base Ultra Classic Electra Glide. ", 
19 "The 2003 MY Harley Davidson Firefighter Road King Special Edition has been designed to honor and aid fire fighters, and comes factory-equipped with special features that ensure the fastest response possible to any emergency. In the engine/tech department, it sports an air-cooled, 1450cc, Twin Cam 88 Vibration Isolated V-Twin powerplant paired to a five-speed manual transmission and can produce 117 Nm of torque. In all other departments, it has the same features as the base Road King, such as the hard, lockable saddlebags, the two-up seat, or the detachable windscreen. ", 
20 "The 2002 MY Harley Davidson Firefighter Special Edition FLHRI Road King sports an air-cooled, 1550cc, Twin Cam 88 V-Twin powerhouse paired to a five-speed manual transmission, and can produce 117 Nm of torque at 3500 rpm. It comes factory-equipped with all the features, technologies and tools for an optimum response time to any emergency. In addition, it also comes with all the comfort-enhancing features and storage space a base Road King machine has.", 
21 "The 2002 MY Harley Davidson Firefighter Special Edition FLHTCUI Ultra Classic Electra Glide has been designed for rapid response for every emergency that might occur on the job for fire department staff. It comes with all the features found on the base Ultra Classic Electra Glide plus factory-fitted sirens and tools that help a fire fighter perform his duties. At its heart lies an air-cooled, 1450cc, Twin Cam 88 V-Twin powerhouse paired to a five-speed manual transmission and can produce 117 Nm of torque at 3500 rpm.", 
